"resource","consumer"
"Species 274","Species 60"
"Species 275","Species 60"
"Species 276","Species 60"
"Species 277","Species 60"
"Species 282","Species 60"
"Species 278","Species 60"
"Species 12","Species 61"
"Species 2","Species 62"
"Species 12","Species 62"
"Species 22","Species 62"
"Species 23","Species 62"
"Species 26","Species 62"
"Species 27","Species 62"
"Species 28","Species 62"
"Species 29","Species 62"
"Species 30","Species 62"
"Species 31","Species 62"
"Species 32","Species 62"
"Species 33","Species 62"
"Species 45","Species 62"
"Species 46","Species 62"
"Species 59","Species 62"
"Species 60","Species 62"
"Species 61","Species 62"
"Species 62","Species 62"
"Species 63","Species 62"
"Species 64","Species 62"
"Species 68","Species 62"
"Species 69","Species 62"
"Species 71","Species 62"
"Species 73","Species 62"
"Species 74","Species 62"
"Species 6","Species 63"
"Species 12","Species 63"
"Species 22","Species 63"
"Species 23","Species 63"
"Species 26","Species 63"
"Species 27","Species 63"
"Species 28","Species 63"
"Species 29","Species 63"
"Species 30","Species 63"
"Species 31","Species 63"
"Species 32","Species 63"
"Species 33","Species 63"
"Species 45","Species 63"
"Species 46","Species 63"
"Species 59","Species 63"
"Species 60","Species 63"
"Species 61","Species 63"
"Species 62","Species 63"
"Species 63","Species 63"
"Species 64","Species 63"
"Species 68","Species 63"
"Species 69","Species 63"
"Species 71","Species 63"
"Species 73","Species 63"
"Species 74","Species 63"
"Species 233","Species 63"
"Species 234","Species 63"
"Species 235","Species 63"
"Species 236","Species 63"
"Species 237","Species 63"
"Species 238","Species 63"
"Species 239","Species 63"
"Species 281","Species 63"
"Species 242","Species 63"
"Species 243","Species 63"
"Species 244","Species 63"
"Species 245","Species 63"
"Species 246","Species 63"
"Species 247","Species 63"
"Species 248","Species 63"
"Species 250","Species 63"
"Species 252","Species 63"
"Species 253","Species 63"
"Species 258","Species 63"
"Species 259","Species 63"
"Species 260","Species 63"
"Species 261","Species 63"
"Species 264","Species 63"
"Species 265","Species 63"
"Species 266","Species 63"
"Species 267","Species 63"
"Species 268","Species 63"
"Species 269","Species 63"
"Species 270","Species 63"
"Species 271","Species 63"
"Species 272","Species 63"
"Species 273","Species 63"
"Species 274","Species 63"
"Species 275","Species 63"
"Species 276","Species 63"
"Species 277","Species 63"
"Species 282","Species 63"
"Species 278","Species 63"
"Species 2","Species 64"
"Species 6","Species 64"
"Species 12","Species 64"
"Species 233","Species 64"
"Species 234","Species 64"
"Species 235","Species 64"
"Species 236","Species 64"
"Species 237","Species 64"
"Species 238","Species 64"
"Species 239","Species 64"
"Species 281","Species 64"
"Species 242","Species 64"
"Species 243","Species 64"
"Species 244","Species 64"
"Species 245","Species 64"
"Species 246","Species 64"
"Species 247","Species 64"
"Species 248","Species 64"
"Species 250","Species 64"
"Species 252","Species 64"
"Species 253","Species 64"
"Species 258","Species 64"
"Species 259","Species 64"
"Species 260","Species 64"
"Species 261","Species 64"
"Species 264","Species 64"
"Species 265","Species 64"
"Species 266","Species 64"
"Species 267","Species 64"
"Species 268","Species 64"
"Species 269","Species 64"
"Species 270","Species 64"
"Species 271","Species 64"
"Species 272","Species 64"
"Species 273","Species 64"
"Species 274","Species 64"
"Species 275","Species 64"
"Species 276","Species 64"
"Species 277","Species 64"
"Species 282","Species 64"
"Species 278","Species 64"
"Species 6","Species 68"
"Species 12","Species 68"
"Species 233","Species 68"
"Species 234","Species 68"
"Species 235","Species 68"
"Species 236","Species 68"
"Species 237","Species 68"
"Species 238","Species 68"
"Species 239","Species 68"
"Species 281","Species 68"
"Species 242","Species 68"
"Species 243","Species 68"
"Species 244","Species 68"
"Species 245","Species 68"
"Species 246","Species 68"
"Species 247","Species 68"
"Species 248","Species 68"
"Species 250","Species 68"
"Species 252","Species 68"
"Species 253","Species 68"
"Species 258","Species 68"
"Species 259","Species 68"
"Species 260","Species 68"
"Species 261","Species 68"
"Species 264","Species 68"
"Species 265","Species 68"
"Species 266","Species 68"
"Species 267","Species 68"
"Species 268","Species 68"
"Species 269","Species 68"
"Species 270","Species 68"
"Species 271","Species 68"
"Species 272","Species 68"
"Species 273","Species 68"
"Species 274","Species 68"
"Species 275","Species 68"
"Species 276","Species 68"
"Species 277","Species 68"
"Species 282","Species 68"
"Species 278","Species 68"
"Species 6","Species 69"
"Species 12","Species 69"
"Species 22","Species 69"
"Species 23","Species 69"
"Species 26","Species 69"
"Species 27","Species 69"
"Species 28","Species 69"
"Species 29","Species 69"
"Species 30","Species 69"
"Species 31","Species 69"
"Species 32","Species 69"
"Species 33","Species 69"
"Species 45","Species 69"
"Species 46","Species 69"
"Species 59","Species 69"
"Species 60","Species 69"
"Species 61","Species 69"
"Species 62","Species 69"
"Species 63","Species 69"
"Species 64","Species 69"
"Species 68","Species 69"
"Species 69","Species 69"
"Species 71","Species 69"
"Species 73","Species 69"
"Species 74","Species 69"
"Species 233","Species 69"
"Species 234","Species 69"
"Species 235","Species 69"
"Species 236","Species 69"
"Species 237","Species 69"
"Species 238","Species 69"
"Species 239","Species 69"
"Species 281","Species 69"
"Species 242","Species 69"
"Species 243","Species 69"
"Species 244","Species 69"
"Species 245","Species 69"
