"resource","consumer"
"Species 406","Species 176"
"Species 407","Species 176"
"Species 408","Species 176"
"Species 409","Species 176"
"Species 410","Species 176"
"Species 429","Species 176"
"Species 430","Species 176"
"Species 432","Species 176"
"Species 434","Species 176"
"Species 435","Species 176"
"Species 437","Species 176"
"Species 438","Species 176"
"Species 439","Species 176"
"Species 440","Species 176"
"Species 441","Species 176"
"Species 443","Species 176"
"Species 444","Species 176"
"Species 460","Species 176"
"Species 465","Species 176"
"Species 466","Species 176"
"Species 468","Species 176"
"Species 470","Species 176"
"Species 472","Species 176"
"Species 478","Species 176"
"Species 486","Species 176"
"Species 488","Species 176"
"Species 493","Species 176"
"Species 494","Species 176"
"Species 34","Species 177"
"Species 157","Species 177"
"Species 160","Species 177"
"Species 257","Species 177"
"Species 266","Species 177"
"Species 271","Species 177"
"Species 402","Species 177"
"Species 403","Species 177"
"Species 404","Species 177"
"Species 406","Species 177"
"Species 407","Species 177"
"Species 414","Species 177"
"Species 417","Species 177"
"Species 429","Species 177"
"Species 435","Species 177"
"Species 440","Species 177"
"Species 468","Species 177"
"Species 472","Species 177"
"Species 478","Species 177"
"Species 486","Species 177"
"Species 493","Species 177"
"Species 34","Species 180"
"Species 157","Species 180"
"Species 160","Species 180"
"Species 257","Species 180"
"Species 266","Species 180"
"Species 271","Species 180"
"Species 402","Species 180"
"Species 403","Species 180"
"Species 404","Species 180"
"Species 406","Species 180"
"Species 407","Species 180"
"Species 414","Species 180"
"Species 417","Species 180"
"Species 429","Species 180"
"Species 435","Species 180"
"Species 440","Species 180"
"Species 468","Species 180"
"Species 472","Species 180"
"Species 478","Species 180"
"Species 486","Species 180"
"Species 493","Species 180"
"Species 24","Species 182"
"Species 34","Species 182"
"Species 36","Species 182"
"Species 37","Species 182"
"Species 38","Species 182"
"Species 39","Species 182"
"Species 40","Species 182"
"Species 41","Species 182"
"Species 42","Species 182"
"Species 129","Species 182"
"Species 131","Species 182"
"Species 136","Species 182"
"Species 137","Species 182"
"Species 138","Species 182"
"Species 140","Species 182"
"Species 141","Species 182"
"Species 143","Species 182"
"Species 145","Species 182"
"Species 147","Species 182"
"Species 148","Species 182"
"Species 150","Species 182"
"Species 353","Species 182"
"Species 354","Species 182"
"Species 355","Species 182"
"Species 357","Species 182"
"Species 358","Species 182"
"Species 359","Species 182"
"Species 360","Species 182"
"Species 365","Species 182"
"Species 366","Species 182"
"Species 369","Species 182"
"Species 373","Species 182"
"Species 375","Species 182"
"Species 376","Species 182"
"Species 378","Species 182"
"Species 379","Species 182"
"Species 382","Species 182"
"Species 384","Species 182"
"Species 385","Species 182"
"Species 387","Species 182"
"Species 388","Species 182"
"Species 390","Species 182"
"Species 391","Species 182"
"Species 392","Species 182"
"Species 393","Species 182"
"Species 394","Species 182"
"Species 395","Species 182"
"Species 396","Species 182"
"Species 399","Species 182"
"Species 406","Species 182"
"Species 413","Species 182"
"Species 414","Species 182"
"Species 415","Species 182"
"Species 416","Species 182"
"Species 417","Species 182"
"Species 426","Species 182"
"Species 427","Species 182"
"Species 442","Species 182"
"Species 454","Species 182"
"Species 456","Species 182"
"Species 457","Species 182"
"Species 459","Species 182"
"Species 479","Species 182"
"Species 480","Species 182"
"Species 497","Species 182"
"Species 157","Species 183"
"Species 160","Species 183"
"Species 165","Species 183"
"Species 182","Species 183"
"Species 257","Species 183"
"Species 266","Species 183"
"Species 271","Species 183"
"Species 274","Species 183"
"Species 277","Species 183"
"Species 294","Species 183"
"Species 402","Species 183"
"Species 403","Species 183"
"Species 404","Species 183"
"Species 406","Species 183"
"Species 407","Species 183"
"Species 409","Species 183"
"Species 429","Species 183"
"Species 430","Species 183"
"Species 432","Species 183"
"Species 434","Species 183"
"Species 435","Species 183"
"Species 437","Species 183"
"Species 438","Species 183"
"Species 440","Species 183"
"Species 441","Species 183"
"Species 443","Species 183"
"Species 444","Species 183"
"Species 465","Species 183"
"Species 466","Species 183"
"Species 468","Species 183"
"Species 470","Species 183"
"Species 472","Species 183"
"Species 478","Species 183"
"Species 486","Species 183"
"Species 488","Species 183"
"Species 493","Species 183"
"Species 494","Species 183"
"Species 21","Species 184"
"Species 49","Species 184"
"Species 50","Species 184"
"Species 51","Species 184"
"Species 54","Species 184"
"Species 59","Species 184"
"Species 60","Species 184"
"Species 61","Species 184"
"Species 62","Species 184"
"Species 63","Species 184"
"Species 64","Species 184"
"Species 65","Species 184"
"Species 66","Species 184"
"Species 67","Species 184"
"Species 69","Species 184"
"Species 106","Species 184"
"Species 129","Species 184"
"Species 132","Species 184"
"Species 140","Species 184"
"Species 143","Species 184"
"Species 144","Species 184"
"Species 353","Species 184"
"Species 354","Species 184"
"Species 355","Species 184"
"Species 357","Species 184"
"Species 358","Species 184"
"Species 359","Species 184"
"Species 360","Species 184"
"Species 364","Species 184"
"Species 365","Species 184"
"Species 366","Species 184"
"Species 367","Species 184"
"Species 368","Species 184"
"Species 369","Species 184"
"Species 373","Species 184"
"Species 375","Species 184"
"Species 376","Species 184"
"Species 378","Species 184"
"Species 379","Species 184"
"Species 381","Species 184"
"Species 382","Species 184"
"Species 384","Species 184"
"Species 385","Species 184"
"Species 387","Species 184"
"Species 388","Species 184"
"Species 390","Species 184"
"Species 391","Species 184"
"Species 392","Species 184"
"Species 393","Species 184"
"Species 394","Species 184"
"Species 395","Species 184"
"Species 396","Species 184"
"Species 399","Species 184"
"Species 413","Species 184"
"Species 415","Species 184"
"Species 416","Species 184"
"Species 426","Species 184"
"Species 442","Species 184"
"Species 454","Species 184"
"Species 456","Species 184"
"Species 457","Species 184"
"Species 459","Species 184"
"Species 479","Species 184"
"Species 480","Species 184"
"Species 497","Species 184"
"Species 157","Species 186"
"Species 160","Species 186"
"Species 165","Species 186"
"Species 182","Species 186"
"Species 184","Species 186"
"Species 257","Species 186"
"Species 266","Species 186"
"Species 271","Species 186"
"Species 274","Species 186"
"Species 277","Species 186"
"Species 294","Species 186"
"Species 402","Species 186"
"Species 403","Species 186"
"Species 404","Species 186"
"Species 406","Species 186"
"Species 407","Species 186"
"Species 409","Species 186"
"Species 410","Species 186"
"Species 429","Species 186"
"Species 430","Species 186"
"Species 432","Species 186"
"Species 434","Species 186"
"Species 435","Species 186"
"Species 437","Species 186"
"Species 438","Species 186"
"Species 440","Species 186"
"Species 441","Species 186"
"Species 443","Species 186"
"Species 444","Species 186"
"Species 465","Species 186"
"Species 468","Species 186"
"Species 470","Species 186"
"Species 472","Species 186"
"Species 478","Species 186"
"Species 486","Species 186"
"Species 488","Species 186"
"Species 493","Species 186"
"Species 494","Species 186"
"Species 12","Species 191"
"Species 14","Species 191"
"Species 15","Species 191"
"Species 16","Species 191"
"Species 115","Species 191"
"Species 131","Species 191"
"Species 136","Species 191"
"Species 137","Species 191"
"Species 138","Species 191"
"Species 141","Species 191"
"Species 145","Species 191"
"Species 147","Species 191"
"Species 151","Species 191"
"Species 152","Species 191"
"Species 154","Species 191"
"Species 156","Species 191"
"Species 337","Species 191"
"Species 406","Species 191"
"Species 414","Species 191"
"Species 426","Species 191"
"Species 442","Species 191"
"Species 24","Species 192"
"Species 25","Species 192"
"Species 26","Species 192"
"Species 29","Species 192"
"Species 34","Species 192"
"Species 35","Species 192"
"Species 36","Species 192"
"Species 37","Species 192"
"Species 38","Species 192"
"Species 39","Species 192"
"Species 40","Species 192"
"Species 41","Species 192"
"Species 42","Species 192"
"Species 43","Species 192"
"Species 45","Species 192"
"Species 77","Species 192"
"Species 90","Species 192"
"Species 117","Species 192"
"Species 119","Species 192"
