"resource","consumer"
"Species 29","Species 32"
"Species 29","Species 33"
"Species 29","Species 34"
"Species 29","Species 35"
"Species 29","Species 37"
"Species 29","Species 38"
"Species 29","Species 39"
"Species 29","Species 41"
"Species 29","Species 42"
"Species 29","Species 43"
"Species 29","Species 52"
"Species 29","Species 12"
"Species 29","Species 16"
"Species 29","Species 22"
"Species 29","Species 23"
"Species 29","Species 24"
"Species 29","Species 25"
"Species 29","Species 26"
"Species 29","Species 27"
"Species 29","Species 28"
"Species 29","Species 36"
"Species 30","Species 32"
"Species 30","Species 33"
"Species 30","Species 34"
"Species 30","Species 35"
"Species 30","Species 37"
"Species 30","Species 38"
"Species 30","Species 39"
"Species 30","Species 41"
"Species 30","Species 42"
"Species 30","Species 43"
"Species 30","Species 12"
"Species 30","Species 16"
"Species 30","Species 22"
"Species 30","Species 23"
"Species 30","Species 24"
"Species 30","Species 25"
"Species 30","Species 26"
"Species 30","Species 27"
"Species 30","Species 28"
"Species 30","Species 36"
"Species 30","Species 44"
"Species 31","Species 32"
"Species 31","Species 38"
"Species 31","Species 41"
"Species 31","Species 42"
"Species 31","Species 43"
"Species 31","Species 44"
"Species 31","Species 12"
"Species 31","Species 16"
"Species 31","Species 22"
"Species 31","Species 23"
"Species 31","Species 24"
"Species 31","Species 25"
"Species 31","Species 26"
"Species 31","Species 27"
"Species 31","Species 28"
"Species 31","Species 33"
"Species 31","Species 34"
"Species 31","Species 35"
"Species 31","Species 36"
"Species 31","Species 37"
"Species 31","Species 39"
"Species 32","Species 35"
"Species 32","Species 36"
"Species 32","Species 37"
"Species 32","Species 38"
"Species 32","Species 39"
"Species 32","Species 41"
"Species 32","Species 42"
"Species 32","Species 43"
"Species 32","Species 44"
"Species 32","Species 45"
"Species 32","Species 46"
"Species 32","Species 49"
"Species 32","Species 52"
"Species 32","Species 60"
"Species 32","Species 22"
"Species 32","Species 23"
"Species 32","Species 24"
"Species 32","Species 27"
"Species 32","Species 28"
"Species 32","Species 32"
"Species 32","Species 33"
"Species 32","Species 34"
"Species 33","Species 32"
"Species 33","Species 33"
"Species 33","Species 34"
"Species 33","Species 35"
"Species 33","Species 36"
"Species 33","Species 37"
"Species 33","Species 38"
"Species 33","Species 39"
"Species 33","Species 41"
"Species 33","Species 42"
"Species 33","Species 43"
"Species 33","Species 44"
"Species 33","Species 45"
"Species 33","Species 46"
"Species 33","Species 49"
"Species 33","Species 52"
"Species 33","Species 60"
"Species 33","Species 22"
"Species 33","Species 23"
"Species 33","Species 24"
"Species 33","Species 25"
"Species 33","Species 26"
"Species 33","Species 27"
"Species 33","Species 28"
"Species 34","Species 32"
"Species 34","Species 33"
"Species 34","Species 34"
"Species 34","Species 35"
"Species 34","Species 36"
"Species 34","Species 37"
"Species 34","Species 38"
"Species 34","Species 39"
"Species 34","Species 41"
"Species 34","Species 42"
"Species 34","Species 43"
"Species 34","Species 44"
"Species 34","Species 45"
"Species 34","Species 46"
"Species 34","Species 49"
"Species 34","Species 52"
"Species 34","Species 60"
"Species 34","Species 22"
"Species 34","Species 23"
"Species 34","Species 24"
"Species 34","Species 25"
"Species 34","Species 26"
"Species 34","Species 27"
"Species 34","Species 28"
"Species 35","Species 33"
"Species 35","Species 35"
"Species 35","Species 36"
"Species 35","Species 37"
"Species 35","Species 39"
"Species 35","Species 41"
"Species 35","Species 42"
"Species 35","Species 43"
"Species 35","Species 44"
"Species 35","Species 45"
"Species 35","Species 46"
"Species 35","Species 49"
"Species 35","Species 52"
"Species 35","Species 60"
"Species 35","Species 22"
"Species 35","Species 23"
"Species 35","Species 24"
"Species 35","Species 27"
"Species 35","Species 28"
"Species 35","Species 32"
"Species 35","Species 34"
"Species 35","Species 38"
"Species 36","Species 27"
"Species 36","Species 40"
"Species 36","Species 50"
"Species 36","Species 51"
"Species 36","Species 53"
"Species 36","Species 54"
"Species 36","Species 56"
"Species 36","Species 58"
"Species 36","Species 59"
"Species 36","Species 60"
"Species 36","Species 22"
"Species 36","Species 24"
"Species 36","Species 28"
"Species 36","Species 32"
"Species 36","Species 35"
"Species 36","Species 36"
"Species 36","Species 37"
"Species 36","Species 39"
"Species 36","Species 44"
"Species 36","Species 45"
"Species 36","Species 46"
"Species 36","Species 47"
"Species 36","Species 48"
"Species 36","Species 62"
"Species 37","Species 27"
"Species 37","Species 28"
"Species 37","Species 37"
"Species 37","Species 39"
"Species 37","Species 40"
"Species 37","Species 45"
"Species 37","Species 46"
"Species 37","Species 47"
"Species 37","Species 48"
"Species 37","Species 50"
"Species 37","Species 51"
"Species 37","Species 53"
"Species 37","Species 56"
"Species 37","Species 58"
"Species 37","Species 59"
"Species 37","Species 60"
"Species 37","Species 61"
"Species 37","Species 62"
"Species 37","Species 22"
"Species 37","Species 24"
"Species 37","Species 32"
"Species 37","Species 35"
"Species 37","Species 36"
"Species 37","Species 44"
"Species 38","Species 27"
"Species 38","Species 28"
"Species 38","Species 36"
"Species 38","Species 37"
"Species 38","Species 38"
"Species 38","Species 39"
"Species 38","Species 40"
"Species 38","Species 44"
"Species 38","Species 45"
"Species 38","Species 46"
"Species 38","Species 47"
"Species 38","Species 48"
"Species 38","Species 50"
"Species 38","Species 51"
"Species 38","Species 53"
"Species 38","Species 56"
"Species 38","Species 58"
"Species 38","Species 59"
"Species 38","Species 60"
"Species 38","Species 61"
"Species 38","Species 62"
"Species 38","Species 22"
"Species 38","Species 24"
"Species 38","Species 32"
"Species 38","Species 35"
"Species 39","Species 27"
"Species 39","Species 36"
"Species 39","Species 39"
"Species 39","Species 40"
"Species 39","Species 44"
"Species 39","Species 45"
"Species 39","Species 46"
"Species 39","Species 47"
"Species 39","Species 48"
"Species 39","Species 50"
"Species 39","Species 51"
"Species 39","Species 53"
"Species 39","Species 56"
"Species 39","Species 57"
"Species 39","Species 58"
"Species 39","Species 59"
"Species 39","Species 60"
"Species 39","Species 61"
"Species 39","Species 62"
"Species 39","Species 22"
"Species 39","Species 24"
"Species 39","Species 28"
"Species 39","Species 32"
"Species 39","Species 35"
"Species 40","Species 45"
"Species 40","Species 46"
"Species 40","Species 48"
"Species 40","Species 61"
"Species 41","Species 45"
"Species 41","Species 46"
"Species 42","Species 45"
"Species 42","Species 46"
"Species 43","Species 45"
"Species 43","Species 46"
"Species 44","Species 45"
"Species 44","Species 46"
"Species 44","Species 48"
"Species 44","Species 56"
"Species 44","Species 58"
"Species 44","Species 59"
"Species 44","Species 63"
"Species 45","Species 56"
"Species 45","Species 58"
"Species 45","Species 59"
"Species 46","Species 45"
"Species 46","Species 56"
"Species 46","Species 58"
"Species 46","Species 59"
"Species 47","Species 45"
"Species 47","Species 46"
"Species 47","Species 48"
"Species 47","Species 56"
"Species 47","Species 58"
"Species 47","Species 59"
"Species 48","Species 61"
"Species 49","Species 16"
"Species 49","Species 22"
"Species 49","Species 23"
"Species 49","Species 32"
"Species 49","Species 33"
"Species 49","Species 34"
"Species 49","Species 35"
"Species 49","Species 36"
"Species 49","Species 37"
"Species 49","Species 38"
"Species 49","Species 39"
"Species 49","Species 41"
"Species 49","Species 42"
"Species 49","Species 43"
"Species 49","Species 44"
"Species 49","Species 45"
"Species 49","Species 46"
"Species 50","Species 22"
"Species 50","Species 24"
"Species 50","Species 27"
"Species 50","Species 28"
"Species 50","Species 32"
"Species 50","Species 35"
"Species 50","Species 36"
"Species 50","Species 37"
"Species 50","Species 38"
"Species 50","Species 39"
"Species 50","Species 40"
"Species 50","Species 44"
"Species 50","Species 45"
"Species 50","Species 46"
"Species 50","Species 47"
"Species 50","Species 48"
"Species 50","Species 6"
"Species 50","Species 7"
"Species 50","Species 9"
"Species 50","Species 10"
"Species 50","Species 13"
"Species 50","Species 14"
"Species 50","Species 15"
"Species 50","Species 18"
"Species 50","Species 19"
"Species 50","Species 20"
"Species 50","Species 21"
"Species 50","Species 23"
"Species 50","Species 29"
"Species 50","Species 30"
"Species 50","Species 31"
"Species 51","Species 22"
"Species 51","Species 24"
"Species 51","Species 27"
"Species 51","Species 28"
"Species 51","Species 32"
"Species 51","Species 35"
"Species 51","Species 36"
"Species 51","Species 37"
"Species 51","Species 38"
"Species 51","Species 39"
"Species 51","Species 40"
"Species 51","Species 44"
"Species 51","Species 45"
"Species 51","Species 46"
"Species 51","Species 47"
"Species 51","Species 48"
"Species 51","Species 6"
"Species 51","Species 7"
"Species 51","Species 9"
"Species 51","Species 10"
"Species 51","Species 13"
"Species 51","Species 14"
"Species 51","Species 15"
"Species 51","Species 18"
"Species 51","Species 19"
"Species 51","Species 20"
"Species 51","Species 21"
"Species 51","Species 23"
"Species 51","Species 29"
"Species 51","Species 30"
"Species 51","Species 31"
"Species 52","Species 16"
"Species 52","Species 22"
"Species 52","Species 23"
"Species 52","Species 24"
"Species 52","Species 25"
"Species 52","Species 26"
"Species 52","Species 27"
"Species 52","Species 28"
"Species 52","Species 32"
"Species 52","Species 33"
"Species 52","Species 34"
"Species 52","Species 35"
"Species 52","Species 36"
"Species 52","Species 37"
"Species 52","Species 38"
"Species 52","Species 39"
"Species 52","Species 41"
"Species 52","Species 42"
"Species 52","Species 43"
"Species 52","Species 44"
"Species 52","Species 45"
"Species 52","Species 46"
"Species 52","Species 6"
"Species 52","Species 7"
"Species 52","Species 9"
"Species 52","Species 10"
"Species 52","Species 13"
"Species 52","Species 14"
"Species 52","Species 15"
"Species 52","Species 18"
"Species 52","Species 19"
"Species 52","Species 20"
"Species 52","Species 21"
"Species 52","Species 29"
"Species 52","Species 30"
"Species 52","Species 31"
"Species 53","Species 22"
"Species 53","Species 24"
"Species 53","Species 27"
"Species 53","Species 28"
"Species 53","Species 32"
"Species 53","Species 35"
"Species 53","Species 36"
"Species 53","Species 37"
"Species 53","Species 38"
"Species 53","Species 39"
"Species 53","Species 40"
"Species 53","Species 44"
"Species 53","Species 45"
"Species 53","Species 46"
"Species 53","Species 47"
"Species 53","Species 48"
"Species 53","Species 6"
"Species 53","Species 7"
"Species 53","Species 9"
"Species 53","Species 10"
"Species 53","Species 17"
"Species 53","Species 18"
"Species 53","Species 19"
"Species 54","Species 22"
"Species 54","Species 24"
"Species 54","Species 27"
"Species 54","Species 28"
"Species 54","Species 32"
"Species 54","Species 35"
"Species 54","Species 36"
"Species 54","Species 37"
"Species 54","Species 38"
"Species 54","Species 39"
"Species 54","Species 40"
"Species 54","Species 44"
"Species 54","Species 45"
"Species 54","Species 46"
