"resource","consumer"
"Species 251","Species 122"
"Species 265","Species 122"
"Species 268","Species 122"
"Species 269","Species 122"
"Species 271","Species 122"
"Species 272","Species 122"
"Species 273","Species 122"
"Species 275","Species 122"
"Species 276","Species 122"
"Species 277","Species 122"
"Species 279","Species 122"
"Species 283","Species 122"
"Species 286","Species 122"
"Species 287","Species 122"
"Species 288","Species 122"
"Species 289","Species 122"
"Species 291","Species 122"
"Species 293","Species 122"
"Species 295","Species 122"
"Species 305","Species 122"
"Species 308","Species 122"
"Species 312","Species 122"
"Species 314","Species 122"
"Species 44","Species 125"
"Species 50","Species 125"
"Species 53","Species 125"
"Species 64","Species 125"
"Species 65","Species 125"
"Species 67","Species 125"
"Species 68","Species 125"
"Species 70","Species 125"
"Species 71","Species 125"
"Species 72","Species 125"
"Species 73","Species 125"
"Species 89","Species 125"
"Species 99","Species 125"
"Species 100","Species 125"
"Species 102","Species 125"
"Species 109","Species 125"
"Species 111","Species 125"
"Species 112","Species 125"
"Species 113","Species 125"
"Species 114","Species 125"
"Species 115","Species 125"
"Species 119","Species 125"
"Species 120","Species 125"
"Species 121","Species 125"
"Species 211","Species 125"
"Species 214","Species 125"
"Species 216","Species 125"
"Species 218","Species 125"
"Species 220","Species 125"
"Species 228","Species 125"
"Species 231","Species 125"
"Species 244","Species 125"
"Species 233","Species 125"
"Species 235","Species 125"
"Species 238","Species 125"
"Species 245","Species 125"
"Species 246","Species 125"
"Species 255","Species 125"
"Species 266","Species 125"
"Species 267","Species 125"
"Species 272","Species 125"
"Species 234","Species 125"
"Species 239","Species 125"
"Species 240","Species 125"
"Species 247","Species 125"
"Species 250","Species 125"
"Species 251","Species 125"
"Species 265","Species 125"
"Species 268","Species 125"
"Species 269","Species 125"
"Species 271","Species 125"
"Species 273","Species 125"
"Species 274","Species 125"
"Species 275","Species 125"
"Species 276","Species 125"
"Species 277","Species 125"
"Species 279","Species 125"
"Species 283","Species 125"
"Species 286","Species 125"
"Species 287","Species 125"
"Species 288","Species 125"
"Species 289","Species 125"
"Species 291","Species 125"
"Species 293","Species 125"
"Species 295","Species 125"
"Species 299","Species 125"
"Species 300","Species 125"
"Species 305","Species 125"
"Species 307","Species 125"
"Species 308","Species 125"
"Species 312","Species 125"
"Species 314","Species 125"
"Species 50","Species 127"
"Species 89","Species 127"
"Species 99","Species 127"
"Species 102","Species 127"
"Species 109","Species 127"
"Species 111","Species 127"
"Species 112","Species 127"
"Species 113","Species 127"
"Species 114","Species 127"
"Species 115","Species 127"
"Species 119","Species 127"
"Species 120","Species 127"
"Species 121","Species 127"
"Species 211","Species 127"
"Species 214","Species 127"
"Species 220","Species 127"
"Species 228","Species 127"
"Species 231","Species 127"
"Species 244","Species 127"
"Species 233","Species 127"
"Species 245","Species 127"
"Species 246","Species 127"
"Species 255","Species 127"
"Species 267","Species 127"
"Species 238","Species 127"
"Species 266","Species 127"
"Species 234","Species 127"
"Species 239","Species 127"
"Species 240","Species 127"
"Species 251","Species 127"
"Species 265","Species 127"
"Species 268","Species 127"
"Species 269","Species 127"
"Species 271","Species 127"
"Species 272","Species 127"
"Species 273","Species 127"
"Species 275","Species 127"
"Species 276","Species 127"
"Species 277","Species 127"
"Species 279","Species 127"
"Species 283","Species 127"
"Species 291","Species 127"
"Species 287","Species 127"
"Species 288","Species 127"
"Species 289","Species 127"
"Species 293","Species 127"
"Species 295","Species 127"
"Species 305","Species 127"
"Species 308","Species 127"
"Species 312","Species 127"
"Species 314","Species 127"
"Species 50","Species 132"
"Species 89","Species 132"
"Species 99","Species 132"
"Species 102","Species 132"
"Species 109","Species 132"
"Species 113","Species 132"
"Species 114","Species 132"
"Species 116","Species 132"
"Species 119","Species 132"
"Species 120","Species 132"
"Species 121","Species 132"
"Species 125","Species 132"
"Species 132","Species 132"
"Species 214","Species 132"
"Species 220","Species 132"
"Species 228","Species 132"
"Species 231","Species 132"
"Species 244","Species 132"
"Species 233","Species 132"
"Species 235","Species 132"
"Species 238","Species 132"
"Species 245","Species 132"
"Species 246","Species 132"
"Species 255","Species 132"
"Species 266","Species 132"
"Species 267","Species 132"
"Species 272","Species 132"
"Species 234","Species 132"
"Species 239","Species 132"
"Species 240","Species 132"
"Species 251","Species 132"
"Species 265","Species 132"
"Species 268","Species 132"
"Species 269","Species 132"
"Species 271","Species 132"
"Species 273","Species 132"
"Species 275","Species 132"
"Species 276","Species 132"
"Species 277","Species 132"
"Species 279","Species 132"
"Species 283","Species 132"
"Species 291","Species 132"
"Species 287","Species 132"
"Species 288","Species 132"
"Species 289","Species 132"
"Species 293","Species 132"
"Species 305","Species 132"
"Species 308","Species 132"
"Species 314","Species 132"
"Species 50","Species 139"
"Species 64","Species 139"
"Species 65","Species 139"
"Species 67","Species 139"
"Species 68","Species 139"
"Species 70","Species 139"
"Species 71","Species 139"
"Species 72","Species 139"
"Species 73","Species 139"
"Species 111","Species 139"
"Species 112","Species 139"
"Species 113","Species 139"
"Species 114","Species 139"
"Species 115","Species 139"
"Species 118","Species 139"
"Species 119","Species 139"
"Species 120","Species 139"
"Species 121","Species 139"
"Species 122","Species 139"
"Species 125","Species 139"
"Species 127","Species 139"
"Species 132","Species 139"
"Species 211","Species 139"
"Species 214","Species 139"
"Species 220","Species 139"
"Species 228","Species 139"
"Species 229","Species 139"
"Species 231","Species 139"
"Species 244","Species 139"
"Species 247","Species 139"
"Species 238","Species 139"
"Species 245","Species 139"
"Species 266","Species 139"
"Species 233","Species 139"
"Species 234","Species 139"
"Species 239","Species 139"
"Species 240","Species 139"
"Species 251","Species 139"
"Species 265","Species 139"
"Species 267","Species 139"
"Species 268","Species 139"
"Species 269","Species 139"
"Species 271","Species 139"
"Species 272","Species 139"
"Species 273","Species 139"
"Species 274","Species 139"
"Species 275","Species 139"
"Species 277","Species 139"
"Species 279","Species 139"
"Species 280","Species 139"
"Species 283","Species 139"
"Species 291","Species 139"
"Species 286","Species 139"
"Species 287","Species 139"
"Species 288","Species 139"
"Species 289","Species 139"
"Species 293","Species 139"
"Species 295","Species 139"
"Species 299","Species 139"
"Species 300","Species 139"
"Species 305","Species 139"
"Species 306","Species 139"
"Species 307","Species 139"
"Species 308","Species 139"
"Species 312","Species 139"
"Species 314","Species 139"
"Species 50","Species 140"
"Species 64","Species 140"
"Species 65","Species 140"
"Species 67","Species 140"
"Species 68","Species 140"
"Species 70","Species 140"
"Species 71","Species 140"
"Species 72","Species 140"
"Species 73","Species 140"
"Species 111","Species 140"
"Species 112","Species 140"
"Species 113","Species 140"
"Species 114","Species 140"
"Species 115","Species 140"
"Species 119","Species 140"
"Species 211","Species 140"
"Species 214","Species 140"
"Species 220","Species 140"
"Species 228","Species 140"
"Species 231","Species 140"
"Species 238","Species 140"
"Species 245","Species 140"
"Species 266","Species 140"
"Species 233","Species 140"
"Species 234","Species 140"
"Species 240","Species 140"
"Species 251","Species 140"
"Species 265","Species 140"
"Species 267","Species 140"
"Species 268","Species 140"
