"resource","consumer"
"Species 12","Species 105"
"Species 12","Species 106"
"Species 12","Species 107"
"Species 12","Species 108"
"Species 12","Species 110"
"Species 12","Species 111"
"Species 12","Species 112"
"Species 12","Species 113"
"Species 2","Species 115"
"Species 6","Species 115"
"Species 3","Species 116"
"Species 2","Species 119"
"Species 6","Species 119"
"Species 3","Species 122"
"Species 187","Species 126"
"Species 189","Species 126"
"Species 190","Species 126"
"Species 191","Species 126"
"Species 192","Species 126"
"Species 193","Species 126"
"Species 194","Species 126"
"Species 197","Species 126"
"Species 200","Species 126"
"Species 201","Species 126"
"Species 203","Species 126"
"Species 204","Species 126"
"Species 205","Species 126"
"Species 207","Species 126"
"Species 209","Species 126"
"Species 210","Species 126"
"Species 214","Species 126"
"Species 215","Species 126"
"Species 216","Species 126"
"Species 218","Species 126"
"Species 219","Species 126"
"Species 220","Species 126"
"Species 221","Species 126"
"Species 222","Species 126"
"Species 223","Species 126"
"Species 224","Species 126"
"Species 227","Species 126"
"Species 228","Species 126"
"Species 229","Species 126"
"Species 233","Species 126"
"Species 235","Species 126"
"Species 236","Species 126"
"Species 240","Species 126"
"Species 243","Species 126"
"Species 244","Species 126"
"Species 247","Species 126"
"Species 248","Species 126"
"Species 250","Species 126"
"Species 251","Species 126"
"Species 253","Species 126"
"Species 254","Species 126"
"Species 255","Species 126"
"Species 256","Species 126"
"Species 273","Species 126"
"Species 164","Species 127"
"Species 167","Species 127"
"Species 2","Species 129"
"Species 187","Species 130"
"Species 189","Species 130"
"Species 190","Species 130"
"Species 191","Species 130"
"Species 192","Species 130"
"Species 193","Species 130"
"Species 194","Species 130"
"Species 197","Species 130"
"Species 200","Species 130"
"Species 201","Species 130"
"Species 203","Species 130"
"Species 204","Species 130"
"Species 205","Species 130"
"Species 207","Species 130"
"Species 209","Species 130"
"Species 210","Species 130"
"Species 214","Species 130"
"Species 215","Species 130"
"Species 216","Species 130"
"Species 218","Species 130"
"Species 219","Species 130"
"Species 220","Species 130"
"Species 221","Species 130"
"Species 222","Species 130"
"Species 223","Species 130"
"Species 224","Species 130"
"Species 227","Species 130"
"Species 228","Species 130"
"Species 229","Species 130"
"Species 233","Species 130"
"Species 235","Species 130"
"Species 236","Species 130"
"Species 240","Species 130"
"Species 243","Species 130"
"Species 244","Species 130"
"Species 247","Species 130"
"Species 248","Species 130"
"Species 250","Species 130"
"Species 251","Species 130"
"Species 253","Species 130"
"Species 254","Species 130"
"Species 255","Species 130"
"Species 256","Species 130"
"Species 273","Species 130"
"Species 12","Species 132"
"Species 1","Species 133"
"Species 2","Species 133"
"Species 1","Species 134"
"Species 2","Species 134"
"Species 6","Species 134"
"Species 2","Species 139"
"Species 6","Species 139"
"Species 10","Species 139"
"Species 2","Species 140"
"Species 3","Species 142"
"Species 2","Species 144"
"Species 12","Species 144"
"Species 133","Species 146"
"Species 134","Species 146"
"Species 142","Species 146"
"Species 146","Species 146"
"Species 149","Species 146"
"Species 442","Species 146"
"Species 2","Species 149"
"Species 3","Species 149"
"Species 2","Species 150"
"Species 6","Species 150"
"Species 2","Species 151"
"Species 3","Species 151"
"Species 2","Species 152"
"Species 3","Species 152"
"Species 2","Species 153"
"Species 2","Species 154"
"Species 6","Species 154"
"Species 2","Species 157"
"Species 12","Species 157"
"Species 2","Species 158"
"Species 12","Species 158"
"Species 21","Species 158"
"Species 50","Species 158"
"Species 68","Species 158"
"Species 101","Species 158"
"Species 104","Species 158"
"Species 105","Species 158"
"Species 106","Species 158"
"Species 107","Species 158"
"Species 108","Species 158"
"Species 110","Species 158"
"Species 111","Species 158"
"Species 112","Species 158"
"Species 113","Species 158"
"Species 132","Species 158"
"Species 144","Species 158"
"Species 413","Species 158"
"Species 415","Species 158"
"Species 454","Species 158"
"Species 455","Species 158"
"Species 456","Species 158"
"Species 457","Species 158"
"Species 458","Species 158"
"Species 479","Species 158"
"Species 498","Species 158"
"Species 1","Species 159"
"Species 2","Species 159"
"Species 3","Species 159"
"Species 6","Species 159"
"Species 10","Species 159"
"Species 25","Species 159"
"Species 35","Species 159"
"Species 44","Species 159"
"Species 75","Species 159"
"Species 77","Species 159"
"Species 85","Species 159"
"Species 88","Species 159"
"Species 89","Species 159"
"Species 90","Species 159"
"Species 91","Species 159"
"Species 92","Species 159"
"Species 94","Species 159"
"Species 95","Species 159"
"Species 96","Species 159"
"Species 97","Species 159"
"Species 115","Species 159"
"Species 153","Species 159"
"Species 154","Species 159"
"Species 155","Species 159"
"Species 156","Species 159"
"Species 262","Species 159"
"Species 264","Species 159"
"Species 265","Species 159"
"Species 337","Species 159"
"Species 402","Species 159"
"Species 403","Species 159"
"Species 404","Species 159"
"Species 406","Species 159"
"Species 414","Species 159"
"Species 417","Species 159"
"Species 422","Species 159"
"Species 433","Species 159"
"Species 440","Species 159"
"Species 464","Species 159"
"Species 476","Species 159"
"Species 477","Species 159"
"Species 490","Species 159"
"Species 1","Species 160"
"Species 2","Species 160"
"Species 3","Species 160"
"Species 6","Species 160"
"Species 10","Species 160"
"Species 16","Species 160"
"Species 25","Species 160"
"Species 35","Species 160"
"Species 44","Species 160"
"Species 74","Species 160"
"Species 75","Species 160"
"Species 77","Species 160"
"Species 85","Species 160"
"Species 88","Species 160"
"Species 89","Species 160"
"Species 90","Species 160"
"Species 91","Species 160"
"Species 92","Species 160"
"Species 94","Species 160"
"Species 95","Species 160"
"Species 96","Species 160"
"Species 97","Species 160"
"Species 115","Species 160"
"Species 119","Species 160"
"Species 122","Species 160"
"Species 139","Species 160"
"Species 153","Species 160"
"Species 154","Species 160"
"Species 156","Species 160"
"Species 159","Species 160"
"Species 161","Species 160"
"Species 259","Species 160"
"Species 260","Species 160"
"Species 262","Species 160"
"Species 264","Species 160"
"Species 265","Species 160"
"Species 327","Species 160"
"Species 329","Species 160"
"Species 331","Species 160"
"Species 332","Species 160"
"Species 333","Species 160"
"Species 335","Species 160"
"Species 336","Species 160"
"Species 337","Species 160"
"Species 338","Species 160"
"Species 342","Species 160"
"Species 343","Species 160"
"Species 344","Species 160"
"Species 345","Species 160"
"Species 346","Species 160"
"Species 347","Species 160"
"Species 348","Species 160"
"Species 349","Species 160"
"Species 350","Species 160"
"Species 351","Species 160"
"Species 401","Species 160"
"Species 402","Species 160"
"Species 403","Species 160"
"Species 404","Species 160"
"Species 406","Species 160"
"Species 407","Species 160"
"Species 414","Species 160"
"Species 417","Species 160"
"Species 422","Species 160"
"Species 433","Species 160"
"Species 435","Species 160"
