"resource","consumer"
"Species 27","Species 29"
"Species 27","Species 32"
"Species 27","Species 33"
"Species 27","Species 34"
"Species 27","Species 35"
"Species 27","Species 36"
"Species 27","Species 37"
"Species 27","Species 48"
"Species 27","Species 50"
"Species 27","Species 52"
"Species 27","Species 54"
"Species 27","Species 55"
"Species 27","Species 56"
"Species 27","Species 57"
"Species 27","Species 59"
"Species 27","Species 61"
"Species 27","Species 67"
"Species 27","Species 69"
"Species 28","Species 28"
"Species 28","Species 29"
"Species 28","Species 32"
"Species 28","Species 33"
"Species 28","Species 47"
"Species 28","Species 48"
"Species 28","Species 50"
"Species 28","Species 52"
"Species 28","Species 54"
"Species 28","Species 55"
"Species 28","Species 56"
"Species 28","Species 57"
"Species 28","Species 59"
"Species 28","Species 61"
"Species 28","Species 64"
"Species 28","Species 65"
"Species 28","Species 66"
"Species 28","Species 67"
"Species 28","Species 72"
"Species 29","Species 28"
"Species 29","Species 29"
"Species 29","Species 32"
"Species 29","Species 33"
"Species 29","Species 48"
"Species 29","Species 50"
"Species 29","Species 52"
"Species 29","Species 54"
"Species 29","Species 55"
"Species 29","Species 56"
"Species 29","Species 57"
"Species 29","Species 59"
"Species 29","Species 61"
"Species 29","Species 64"
"Species 29","Species 65"
"Species 29","Species 66"
"Species 29","Species 67"
"Species 29","Species 72"
"Species 30","Species 28"
"Species 30","Species 29"
"Species 30","Species 30"
"Species 30","Species 31"
"Species 30","Species 48"
"Species 30","Species 50"
"Species 30","Species 52"
"Species 30","Species 54"
"Species 30","Species 55"
"Species 30","Species 56"
"Species 30","Species 57"
"Species 30","Species 59"
"Species 30","Species 61"
"Species 30","Species 64"
"Species 30","Species 65"
"Species 30","Species 66"
"Species 30","Species 67"
"Species 30","Species 72"
"Species 31","Species 28"
"Species 31","Species 29"
"Species 31","Species 30"
"Species 31","Species 31"
"Species 31","Species 48"
"Species 31","Species 50"
"Species 31","Species 52"
"Species 31","Species 54"
"Species 31","Species 55"
"Species 31","Species 56"
"Species 31","Species 57"
"Species 31","Species 59"
"Species 31","Species 61"
"Species 31","Species 64"
"Species 31","Species 65"
"Species 31","Species 66"
"Species 31","Species 67"
"Species 31","Species 72"
"Species 32","Species 28"
"Species 32","Species 29"
"Species 32","Species 32"
"Species 32","Species 33"
"Species 32","Species 47"
"Species 32","Species 48"
"Species 32","Species 50"
"Species 32","Species 52"
"Species 32","Species 54"
"Species 32","Species 55"
"Species 32","Species 56"
"Species 32","Species 57"
"Species 32","Species 59"
"Species 32","Species 61"
"Species 32","Species 64"
"Species 32","Species 65"
"Species 32","Species 66"
"Species 32","Species 67"
"Species 32","Species 72"
"Species 33","Species 28"
"Species 33","Species 29"
"Species 33","Species 32"
"Species 33","Species 33"
"Species 33","Species 48"
"Species 33","Species 50"
"Species 33","Species 52"
"Species 33","Species 54"
"Species 33","Species 55"
"Species 33","Species 56"
"Species 33","Species 57"
"Species 33","Species 59"
"Species 33","Species 61"
"Species 33","Species 64"
"Species 33","Species 65"
"Species 33","Species 66"
"Species 33","Species 67"
"Species 33","Species 72"
"Species 34","Species 34"
"Species 34","Species 35"
"Species 34","Species 67"
"Species 34","Species 68"
"Species 34","Species 69"
"Species 34","Species 72"
"Species 35","Species 24"
"Species 35","Species 25"
"Species 35","Species 27"
"Species 35","Species 28"
"Species 35","Species 29"
"Species 35","Species 34"
"Species 35","Species 35"
"Species 35","Species 36"
"Species 35","Species 37"
"Species 35","Species 48"
"Species 35","Species 50"
"Species 35","Species 52"
"Species 35","Species 54"
"Species 35","Species 55"
"Species 35","Species 56"
"Species 35","Species 57"
"Species 35","Species 59"
"Species 35","Species 61"
"Species 35","Species 67"
"Species 35","Species 68"
"Species 35","Species 69"
"Species 35","Species 72"
"Species 36","Species 24"
"Species 36","Species 25"
"Species 36","Species 27"
"Species 36","Species 28"
"Species 36","Species 29"
"Species 36","Species 34"
"Species 36","Species 35"
"Species 36","Species 36"
"Species 36","Species 37"
"Species 36","Species 52"
"Species 36","Species 54"
"Species 36","Species 55"
"Species 36","Species 56"
"Species 36","Species 57"
"Species 36","Species 61"
"Species 36","Species 67"
"Species 36","Species 68"
"Species 36","Species 69"
"Species 36","Species 72"
"Species 37","Species 24"
"Species 37","Species 25"
"Species 37","Species 27"
"Species 37","Species 28"
"Species 37","Species 29"
"Species 37","Species 34"
"Species 37","Species 35"
"Species 37","Species 36"
"Species 37","Species 37"
"Species 37","Species 48"
"Species 37","Species 50"
"Species 37","Species 52"
"Species 37","Species 54"
"Species 37","Species 55"
"Species 37","Species 56"
"Species 37","Species 57"
"Species 37","Species 59"
"Species 37","Species 61"
"Species 37","Species 67"
"Species 37","Species 68"
"Species 37","Species 69"
"Species 37","Species 72"
"Species 38","Species 47"
"Species 38","Species 49"
"Species 38","Species 51"
"Species 38","Species 53"
"Species 38","Species 57"
"Species 38","Species 59"
"Species 38","Species 61"
"Species 38","Species 64"
"Species 38","Species 65"
"Species 38","Species 66"
"Species 38","Species 78"
"Species 39","Species 12"
"Species 39","Species 16"
"Species 39","Species 24"
"Species 39","Species 25"
"Species 39","Species 27"
"Species 39","Species 28"
"Species 39","Species 29"
"Species 39","Species 30"
"Species 39","Species 31"
"Species 39","Species 32"
"Species 39","Species 33"
"Species 39","Species 34"
"Species 39","Species 35"
"Species 39","Species 36"
"Species 39","Species 37"
"Species 39","Species 48"
"Species 39","Species 49"
"Species 39","Species 50"
"Species 39","Species 51"
"Species 39","Species 52"
"Species 39","Species 53"
"Species 39","Species 54"
"Species 39","Species 55"
"Species 39","Species 56"
"Species 39","Species 57"
"Species 39","Species 59"
"Species 39","Species 61"
"Species 40","Species 12"
"Species 40","Species 16"
"Species 40","Species 24"
"Species 40","Species 25"
"Species 40","Species 27"
"Species 40","Species 28"
"Species 40","Species 29"
"Species 40","Species 30"
"Species 40","Species 31"
"Species 40","Species 32"
"Species 40","Species 33"
"Species 40","Species 34"
"Species 40","Species 35"
"Species 40","Species 36"
"Species 40","Species 37"
"Species 40","Species 48"
"Species 40","Species 49"
"Species 40","Species 50"
"Species 40","Species 51"
"Species 40","Species 52"
"Species 40","Species 53"
"Species 40","Species 54"
"Species 40","Species 55"
"Species 40","Species 56"
"Species 40","Species 57"
"Species 40","Species 59"
"Species 40","Species 61"
"Species 40","Species 78"
"Species 41","Species 47"
"Species 41","Species 49"
"Species 41","Species 51"
"Species 41","Species 53"
"Species 41","Species 57"
"Species 41","Species 59"
"Species 41","Species 61"
"Species 41","Species 64"
"Species 41","Species 65"
"Species 41","Species 66"
"Species 42","Species 12"
"Species 42","Species 16"
"Species 42","Species 24"
"Species 42","Species 25"
"Species 42","Species 27"
"Species 42","Species 28"
"Species 42","Species 29"
"Species 42","Species 30"
"Species 42","Species 31"
"Species 42","Species 32"
"Species 42","Species 33"
"Species 42","Species 34"
"Species 42","Species 35"
"Species 42","Species 36"
"Species 42","Species 37"
"Species 42","Species 48"
"Species 42","Species 50"
"Species 42","Species 52"
"Species 42","Species 54"
"Species 42","Species 55"
"Species 42","Species 56"
"Species 42","Species 57"
"Species 42","Species 59"
"Species 42","Species 61"
"Species 42","Species 67"
"Species 43","Species 12"
"Species 43","Species 16"
"Species 43","Species 24"
"Species 43","Species 25"
"Species 43","Species 27"
"Species 43","Species 28"
"Species 43","Species 29"
"Species 43","Species 30"
"Species 43","Species 31"
"Species 43","Species 32"
"Species 43","Species 33"
"Species 43","Species 34"
"Species 43","Species 35"
"Species 43","Species 36"
"Species 43","Species 37"
"Species 43","Species 48"
"Species 43","Species 50"
"Species 43","Species 52"
"Species 43","Species 54"
"Species 43","Species 56"
"Species 43","Species 57"
"Species 43","Species 59"
"Species 43","Species 61"
"Species 43","Species 67"
"Species 44","Species 47"
"Species 44","Species 59"
"Species 44","Species 64"
"Species 44","Species 65"
"Species 44","Species 66"
"Species 44","Species 67"
"Species 45","Species 12"
"Species 45","Species 16"
"Species 45","Species 24"
"Species 45","Species 25"
"Species 45","Species 27"
"Species 45","Species 28"
"Species 45","Species 29"
"Species 45","Species 30"
"Species 45","Species 31"
"Species 45","Species 32"
"Species 45","Species 33"
"Species 45","Species 34"
"Species 45","Species 35"
"Species 45","Species 36"
"Species 45","Species 37"
"Species 45","Species 48"
"Species 45","Species 49"
"Species 45","Species 50"
"Species 45","Species 51"
"Species 45","Species 52"
"Species 45","Species 53"
"Species 45","Species 54"
"Species 45","Species 55"
"Species 45","Species 56"
"Species 45","Species 57"
"Species 45","Species 59"
"Species 45","Species 61"
"Species 46","Species 12"
"Species 46","Species 16"
"Species 46","Species 24"
"Species 46","Species 25"
"Species 46","Species 27"
"Species 46","Species 28"
"Species 46","Species 29"
"Species 46","Species 30"
"Species 46","Species 31"
"Species 46","Species 32"
"Species 46","Species 33"
"Species 46","Species 34"
"Species 46","Species 35"
"Species 46","Species 36"
"Species 46","Species 37"
"Species 46","Species 48"
"Species 46","Species 49"
"Species 46","Species 50"
"Species 46","Species 51"
"Species 46","Species 52"
"Species 46","Species 53"
"Species 46","Species 54"
"Species 46","Species 55"
"Species 46","Species 56"
"Species 46","Species 57"
"Species 46","Species 59"
"Species 46","Species 61"
"Species 47","Species 53"
"Species 47","Species 55"
"Species 47","Species 57"
"Species 47","Species 59"
"Species 47","Species 61"
"Species 47","Species 64"
"Species 47","Species 65"
"Species 47","Species 66"
"Species 47","Species 67"
"Species 47","Species 68"
"Species 47","Species 69"
"Species 47","Species 72"
"Species 47","Species 77"
"Species 47","Species 102"
"Species 48","Species 24"
"Species 48","Species 25"
"Species 48","Species 27"
"Species 48","Species 28"
"Species 48","Species 29"
"Species 48","Species 34"
"Species 48","Species 35"
"Species 48","Species 36"
"Species 48","Species 37"
"Species 48","Species 48"
"Species 48","Species 50"
"Species 48","Species 52"
"Species 48","Species 54"
"Species 48","Species 55"
"Species 48","Species 56"
"Species 48","Species 57"
"Species 48","Species 59"
"Species 48","Species 61"
"Species 48","Species 72"
"Species 48","Species 77"
"Species 48","Species 102"
"Species 49","Species 47"
"Species 49","Species 49"
"Species 49","Species 51"
"Species 49","Species 53"
"Species 49","Species 55"
"Species 49","Species 57"
"Species 49","Species 59"
"Species 49","Species 61"
"Species 49","Species 64"
"Species 49","Species 65"
"Species 49","Species 66"
"Species 49","Species 67"
"Species 49","Species 68"
"Species 49","Species 69"
"Species 49","Species 72"
"Species 49","Species 77"
"Species 49","Species 102"
"Species 50","Species 24"
"Species 50","Species 25"
"Species 50","Species 27"
"Species 50","Species 28"
"Species 50","Species 29"
"Species 50","Species 30"
"Species 50","Species 31"
"Species 50","Species 32"
"Species 50","Species 33"
"Species 50","Species 34"
"Species 50","Species 35"
"Species 50","Species 36"
"Species 50","Species 37"
"Species 50","Species 48"
"Species 50","Species 50"
"Species 50","Species 52"
"Species 50","Species 54"
"Species 50","Species 55"
"Species 50","Species 56"
"Species 50","Species 57"
"Species 50","Species 59"
"Species 50","Species 61"
"Species 50","Species 72"
"Species 50","Species 77"
"Species 50","Species 102"
"Species 51","Species 47"
"Species 51","Species 49"
"Species 51","Species 51"
"Species 51","Species 53"
"Species 51","Species 55"
"Species 51","Species 57"
"Species 51","Species 59"
"Species 51","Species 61"
"Species 51","Species 64"
"Species 51","Species 65"
"Species 51","Species 66"
"Species 51","Species 67"
"Species 51","Species 68"
"Species 51","Species 69"
"Species 51","Species 72"
"Species 51","Species 77"
