"node","taxa.ID","nodeID","Lifestyle","n.lifestages","n.LS"
"Species 390","Species 271",390,"infectious",4,1
"Species 391","Species 272",391,"infectious",4,1
"Species 392","Species 273",392,"infectious",4,1
"Species 393","Species 274",393,"infectious",3,1
"Species 394","Species 275",394,"infectious",4,1
"Species 395","Species 276",395,"infectious",4,1
"Species 396","Species 277",396,"infectious",4,1
"Species 399","Species 279",399,"infectious",3,1
"Species 400","Species 280",400,"infectious",3,1
"Species 401","Species 237",401,"infectious",4,1
"Species 402","Species 238",402,"infectious",4,1
"Species 403","Species 245",403,"infectious",4,1
"Species 404","Species 266",404,"infectious",4,1
"Species 406","Species 233",406,"infectious",4,1
"Species 407","Species 234",407,"infectious",4,1
"Species 408","Species 239",408,"infectious",4,1
"Species 409","Species 240",409,"infectious",3,1
"Species 413","Species 244",413,"infectious",3,1
"Species 414","Species 246",414,"infectious",4,1
"Species 415","Species 247",415,"infectious",4,1
"Species 417","Species 250",417,"infectious",4,1
"Species 418","Species 251",418,"infectious",3,1
"Species 422","Species 255",422,"infectious",3,1
"Species 432","Species 265",432,"infectious",4,1
"Species 433","Species 267",433,"infectious",3,1
"Species 434","Species 268",434,"infectious",4,1
"Species 435","Species 269",435,"infectious",4,1
"Species 437","Species 271",437,"infectious",4,1
"Species 438","Species 272",438,"infectious",4,1
"Species 439","Species 273",439,"infectious",4,1
"Species 440","Species 274",440,"infectious",3,1
"Species 441","Species 275",441,"infectious",4,1
"Species 442","Species 276",442,"infectious",4,1
"Species 443","Species 277",443,"infectious",4,1
"Species 444","Species 279",444,"infectious",3,1
"Species 445","Species 280",445,"infectious",3,1
"Species 446","Species 283",446,"infectious",3,1
"Species 449","Species 286",449,"infectious",3,1
"Species 450","Species 287",450,"infectious",3,1
"Species 451","Species 288",451,"infectious",3,1
"Species 452","Species 289",452,"infectious",3,1
"Species 454","Species 283",454,"infectious",3,1
"Species 455","Species 286",455,"infectious",3,1
"Species 456","Species 287",456,"infectious",3,1
"Species 457","Species 288",457,"infectious",3,1
"Species 458","Species 289",458,"infectious",3,1
"Species 460","Species 283",460,"infectious",3,1
"Species 462","Species 291",462,"infectious",1,0
"Species 464","Species 286",464,"infectious",3,1
"Species 465","Species 287",465,"infectious",3,1
"Species 466","Species 288",466,"infectious",3,1
"Species 467","Species 289",467,"infectious",3,1
"Species 469","Species 292",469,"infectious",1,0
"Species 470","Species 293",470,"infectious",2,1
"Species 472","Species 295",472,"infectious",1,0
"Species 476","Species 299",476,"infectious",1,0
"Species 477","Species 300",477,"infectious",1,0
"Species 479","Species 293",479,"infectious",2,1
"Species 484","Species 305",484,"infectious",2,1
"Species 485","Species 306",485,"infectious",2,1
"Species 488","Species 305",488,"infectious",2,1
"Species 489","Species 306",489,"infectious",2,1
"Species 490","Species 307",490,"infectious",1,0
"Species 491","Species 308",491,"infectious",1,0
"Species 495","Species 312",495,"infectious",2,1
"Species 498","Species 312",498,"infectious",2,1
"Species 500","Species 314",500,"infectious",1,0
