"resource","consumer"
"Species 271","Species 119"
"Species 272","Species 119"
"Species 273","Species 119"
"Species 274","Species 119"
"Species 275","Species 119"
"Species 276","Species 119"
"Species 277","Species 119"
"Species 279","Species 119"
"Species 244","Species 119"
"Species 247","Species 119"
"Species 248","Species 119"
"Species 283","Species 119"
"Species 287","Species 119"
"Species 288","Species 119"
"Species 290","Species 119"
"Species 293","Species 119"
"Species 294","Species 119"
"Species 310","Species 119"
"Species 10","Species 121"
"Species 24","Species 121"
"Species 25","Species 121"
"Species 26","Species 121"
"Species 29","Species 121"
"Species 34","Species 121"
"Species 35","Species 121"
"Species 36","Species 121"
"Species 37","Species 121"
"Species 38","Species 121"
"Species 39","Species 121"
"Species 40","Species 121"
"Species 41","Species 121"
"Species 42","Species 121"
"Species 43","Species 121"
"Species 45","Species 121"
"Species 53","Species 121"
"Species 66","Species 121"
"Species 75","Species 121"
"Species 76","Species 121"
"Species 89","Species 121"
"Species 91","Species 121"
"Species 92","Species 121"
"Species 96","Species 121"
"Species 97","Species 121"
"Species 98","Species 121"
"Species 100","Species 121"
"Species 101","Species 121"
"Species 103","Species 121"
"Species 104","Species 121"
"Species 105","Species 121"
"Species 107","Species 121"
"Species 108","Species 121"
"Species 110","Species 121"
"Species 86","Species 121"
"Species 90","Species 121"
"Species 94","Species 121"
"Species 216","Species 121"
"Species 234","Species 121"
"Species 247","Species 121"
"Species 233","Species 121"
"Species 235","Species 121"
"Species 237","Species 121"
"Species 238","Species 121"
"Species 239","Species 121"
"Species 240","Species 121"
"Species 245","Species 121"
"Species 246","Species 121"
"Species 250","Species 121"
"Species 254","Species 121"
"Species 256","Species 121"
"Species 257","Species 121"
"Species 259","Species 121"
"Species 260","Species 121"
"Species 263","Species 121"
"Species 265","Species 121"
"Species 266","Species 121"
"Species 268","Species 121"
"Species 269","Species 121"
"Species 271","Species 121"
"Species 272","Species 121"
"Species 273","Species 121"
"Species 274","Species 121"
"Species 275","Species 121"
"Species 276","Species 121"
"Species 277","Species 121"
"Species 279","Species 121"
"Species 244","Species 121"
"Species 248","Species 121"
"Species 283","Species 121"
"Species 287","Species 121"
"Species 288","Species 121"
"Species 290","Species 121"
"Species 293","Species 121"
"Species 294","Species 121"
"Species 310","Species 121"
"Species 10","Species 122"
"Species 88","Species 122"
"Species 89","Species 122"
"Species 91","Species 122"
"Species 96","Species 122"
"Species 97","Species 122"
"Species 98","Species 122"
"Species 100","Species 122"
"Species 101","Species 122"
"Species 103","Species 122"
"Species 105","Species 122"
"Species 107","Species 122"
"Species 108","Species 122"
"Species 109","Species 122"
"Species 110","Species 122"
"Species 94","Species 122"
"Species 111","Species 122"
"Species 114","Species 122"
"Species 119","Species 122"
"Species 121","Species 122"
"Species 136","Species 122"
"Species 138","Species 122"
"Species 211","Species 122"
"Species 220","Species 122"
"Species 225","Species 122"
"Species 228","Species 122"
"Species 231","Species 122"
"Species 244","Species 122"
"Species 248","Species 122"
"Species 233","Species 122"
"Species 245","Species 122"
"Species 246","Species 122"
"Species 256","Species 122"
"Species 257","Species 122"
"Species 260","Species 122"
"Species 238","Species 122"
"Species 266","Species 122"
"Species 234","Species 122"
"Species 239","Species 122"
"Species 240","Species 122"
"Species 241","Species 122"
"Species 247","Species 122"
"Species 259","Species 122"
"Species 262","Species 122"
"Species 263","Species 122"
"Species 265","Species 122"
"Species 268","Species 122"
"Species 269","Species 122"
"Species 271","Species 122"
"Species 272","Species 122"
"Species 273","Species 122"
"Species 275","Species 122"
"Species 276","Species 122"
"Species 277","Species 122"
"Species 279","Species 122"
"Species 283","Species 122"
"Species 287","Species 122"
"Species 288","Species 122"
"Species 290","Species 122"
"Species 293","Species 122"
"Species 295","Species 122"
"Species 301","Species 122"
"Species 294","Species 122"
"Species 303","Species 122"
"Species 305","Species 122"
"Species 310","Species 122"
"Species 311","Species 122"
"Species 24","Species 125"
"Species 34","Species 125"
"Species 36","Species 125"
"Species 37","Species 125"
