ConsumerNodeID,ResourceNodeID,ConsumerSpeciesID,ResourceSpeciesID,ConsumerStageID,ResourceStageID,ConsumerSpecies.StageID,ResourceSpecies.StageID,LinkTypeID,LinkType,LinkEvidence,LinkEvidenceNotes,LinkFrequency,LinkN,DietFraction,ConsumptionRate,VectorFrom,PreyFrom
12,7,12,7,1,1,12.1,7.1,1,predation,modelled,"Tomann and Dall 1977, Davies et al. 1981, Davies and Linton 1982, Kutschsera 2003, Kreuter et al. 2008",,,,,,
16,7,16,7,1,1,16.1,7.1,1,predation,modelled,Fryer 1957,,,,,,
24,7,22,7,1,1,22.1,7.1,1,predation,modelled,Hallmark 1972,,,,,,
25,7,22,7,2,1,22.2,7.1,1,predation,modelled,Hallmark 1972,,,,,,
26,7,23,7,1,1,23.1,7.1,1,predation,modelled,Plague 1996,,,,,,
27,7,23,7,2,1,23.2,7.1,1,predation,modelled,Plague 1996,,,,,,
40,7,29,7,2,1,29.2,7.1,1,predation,modelled,"Loden 1974, Keiper et al. 2002",,,,,,
42,7,30,7,2,1,30.2,7.1,1,predation,modelled,Keiper et al. 2002,,,,,,
48,7,32,7,2,1,32.2,7.1,1,predation,modelled,Van Buskirk 1988,,,,,,
50,7,33,7,2,1,33.2,7.1,1,predation,modelled,,,,,,,
52,7,34,7,2,1,34.2,7.1,1,predation,modelled,,,,,,,
54,7,35,7,2,1,35.2,7.1,1,predation,modelled,"Folsom and Collins 1984, Van Buskirk 1988, Turner and Chislock 2007",,,,,,
55,7,36,7,1,1,36.1,7.1,1,predation,modelled,Petranka 1998,,,,,,
56,7,36,7,2,1,36.2,7.1,1,predation,modelled,Petranka 1999,,,,,,
67,7,44,7,1,1,44.1,7.1,1,predation,modelled,Terres 1995,,,,,,
6,8,6,8,1,1,6.1,8.1,1,predation,modelled,,,,,,,
7,8,7,8,1,1,7.1,8.1,1,predation,modelled,,,,,,,
9,8,9,8,1,1,9.1,8.1,1,predation,modelled,Smith and Kaster 1986,,,,,,
10,8,10,8,1,1,10.1,8.1,1,predation,modelled,Lazim and Learner 1987,,,,,,
13,8,13,8,1,1,13.1,8.1,1,predation,modelled,Lowe and Hunter 1988,,,,,,
14,8,14,8,1,1,14.1,8.1,1,predation,modelled,,,,,,,
15,8,15,8,1,1,15.1,8.1,1,predation,modelled,Hargrave 1970,,,,,,
18,8,18,8,1,1,18.1,8.1,1,predation,inferred,,,,,,,
19,8,19,8,1,1,19.1,8.1,1,predation,modelled,"McLay 1978, Diner et al. 1986",,,,,,
40,8,29,8,2,1,29.2,8.1,1,predation,modelled,"Loden 1974, Keiper et al. 2002",,,,,,
42,8,30,8,2,1,30.2,8.1,1,predation,modelled,Keiper et al. 2002,,,,,,
45,8,31,8,2,1,31.2,8.1,1,predation,modelled,Keiper et al. 2002,,,,,,
58,8,37,8,2,1,37.2,8.1,1,predation,observed,,,,,,,
60,8,38,8,2,1,38.2,8.1,1,predation,observed,,,,,,,
62,8,39,8,2,1,39.2,8.1,1,predation,observed,,,,,,,
7,9,7,9,1,1,7.1,9.1,1,predation,modelled,,,,,,,
12,9,12,9,1,1,12.1,9.1,1,predation,modelled,"Tomann and Dall 1977, Davies et al. 1981, Davies and Linton 1982, Kutschsera 2003, Kreuter et al. 2008",,,,,,
16,9,16,9,1,1,16.1,9.1,1,predation,modelled,Fryer 1957,,,,,,
24,9,22,9,1,1,22.1,9.1,1,predation,modelled,Hallmark 1972,,,,,,
25,9,22,9,2,1,22.2,9.1,1,predation,modelled,Hallmark 1972,,,,,,
27,9,23,9,2,1,23.2,9.1,1,predation,modelled,Plague 1996,,,,,,
48,9,32,9,2,1,32.2,9.1,1,predation,modelled,Van Buskirk 1988,,,,,,
