"node","taxa.ID","nodeID","Lifestyle","n.lifestages","n.LS"
"Species 352","Species 282",352,"infectious",2,1
"Species 353","Species 233",353,"infectious",4,1
"Species 354","Species 234",354,"infectious",4,1
"Species 355","Species 235",355,"infectious",3,1
"Species 356","Species 236",356,"infectious",3,1
"Species 357","Species 237",357,"infectious",4,1
"Species 358","Species 238",358,"infectious",4,1
"Species 359","Species 239",359,"infectious",4,1
"Species 361","Species 281",361,"infectious",2,1
"Species 362","Species 242",362,"infectious",3,1
"Species 363","Species 243",363,"infectious",3,1
"Species 364","Species 244",364,"infectious",3,1
"Species 365","Species 245",365,"infectious",4,1
"Species 366","Species 246",366,"infectious",4,1
"Species 367","Species 247",367,"infectious",4,1
"Species 368","Species 248",368,"infectious",3,1
"Species 369","Species 250",369,"infectious",4,1
"Species 371","Species 252",371,"infectious",3,1
"Species 372","Species 253",372,"infectious",3,1
"Species 377","Species 258",377,"infectious",3,1
"Species 378","Species 259",378,"infectious",3,1
"Species 379","Species 260",379,"infectious",3,1
"Species 380","Species 261",380,"infectious",4,1
"Species 383","Species 264",383,"infectious",3,1
"Species 384","Species 265",384,"infectious",4,1
"Species 385","Species 266",385,"infectious",4,1
"Species 386","Species 267",386,"infectious",3,1
"Species 387","Species 268",387,"infectious",4,1
"Species 388","Species 269",388,"infectious",4,1
"Species 389","Species 270",389,"infectious",3,1
"Species 390","Species 271",390,"infectious",4,1
"Species 391","Species 272",391,"infectious",4,1
"Species 392","Species 273",392,"infectious",4,1
"Species 393","Species 274",393,"infectious",3,1
"Species 394","Species 275",394,"infectious",4,1
"Species 395","Species 276",395,"infectious",4,1
"Species 396","Species 277",396,"infectious",4,1
"Species 397","Species 282",397,"infectious",2,1
"Species 398","Species 278",398,"infectious",3,1
"Species 401","Species 237",401,"infectious",4,1
"Species 402","Species 238",402,"infectious",4,1
"Species 403","Species 245",403,"infectious",4,1
"Species 404","Species 266",404,"infectious",4,1
"Species 405","Species 278",405,"infectious",3,1
"Species 406","Species 233",406,"infectious",4,1
"Species 407","Species 234",407,"infectious",4,1
"Species 408","Species 239",408,"infectious",4,1
"Species 411","Species 242",411,"infectious",3,1
"Species 412","Species 243",412,"infectious",3,1
"Species 413","Species 244",413,"infectious",3,1
"Species 414","Species 246",414,"infectious",4,1
"Species 415","Species 247",415,"infectious",4,1
"Species 416","Species 248",416,"infectious",3,1
"Species 417","Species 250",417,"infectious",4,1
"Species 419","Species 252",419,"infectious",3,1
"Species 420","Species 253",420,"infectious",3,1
"Species 425","Species 258",425,"infectious",3,1
"Species 426","Species 259",426,"infectious",3,1
"Species 427","Species 260",427,"infectious",3,1
"Species 428","Species 261",428,"infectious",4,1
"Species 431","Species 264",431,"infectious",3,1
"Species 432","Species 265",432,"infectious",4,1
"Species 433","Species 267",433,"infectious",3,1
"Species 434","Species 268",434,"infectious",4,1
"Species 435","Species 269",435,"infectious",4,1
"Species 436","Species 270",436,"infectious",3,1
"Species 437","Species 271",437,"infectious",4,1
"Species 438","Species 272",438,"infectious",4,1
"Species 439","Species 273",439,"infectious",4,1
"Species 440","Species 274",440,"infectious",3,1
"Species 441","Species 275",441,"infectious",4,1
"Species 442","Species 276",442,"infectious",4,1
"Species 443","Species 277",443,"infectious",4,1
"Species 446","Species 283",446,"infectious",3,1
"Species 447","Species 284",447,"infectious",2,1
"Species 448","Species 285",448,"infectious",2,1
"Species 449","Species 286",449,"infectious",3,1
"Species 450","Species 287",450,"infectious",3,1
"Species 451","Species 288",451,"infectious",3,1
"Species 452","Species 289",452,"infectious",3,1
"Species 453","Species 290",453,"infectious",3,1
"Species 454","Species 283",454,"infectious",3,1
"Species 455","Species 286",455,"infectious",3,1
"Species 456","Species 287",456,"infectious",3,1
"Species 457","Species 288",457,"infectious",3,1
"Species 458","Species 289",458,"infectious",3,1
"Species 459","Species 290",459,"infectious",3,1
"Species 460","Species 283",460,"infectious",3,1
"Species 461","Species 284",461,"infectious",2,1
"Species 463","Species 285",463,"infectious",2,1
"Species 464","Species 286",464,"infectious",3,1
"Species 465","Species 287",465,"infectious",3,1
"Species 466","Species 288",466,"infectious",3,1
"Species 467","Species 289",467,"infectious",3,1
"Species 468","Species 290",468,"infectious",3,1
"Species 470","Species 293",470,"infectious",2,1
"Species 472","Species 295",472,"infectious",1,0
"Species 473","Species 296",473,"infectious",1,0
"Species 474","Species 297",474,"infectious",1,0
"Species 475","Species 298",475,"infectious",1,0
"Species 476","Species 299",476,"infectious",1,0
"Species 478","Species 301",478,"infectious",1,0
"Species 479","Species 293",479,"infectious",2,1
"Species 481","Species 302",481,"infectious",1,0
"Species 482","Species 303",482,"infectious",2,1
"Species 483","Species 304",483,"infectious",2,1
"Species 484","Species 305",484,"infectious",2,1
"Species 486","Species 303",486,"infectious",2,1
"Species 487","Species 304",487,"infectious",2,1
"Species 488","Species 305",488,"infectious",2,1
"Species 490","Species 307",490,"infectious",1,0
"Species 493","Species 310",493,"infectious",2,1
"Species 496","Species 313",496,"infectious",2,1
"Species 497","Species 310",497,"infectious",2,1
"Species 499","Species 313",499,"infectious",2,1
"Species 500","Species 314",500,"infectious",1,0
