"resource","consumer"
"Species 389","Species 88"
"Species 390","Species 88"
"Species 391","Species 88"
"Species 392","Species 88"
"Species 393","Species 88"
"Species 394","Species 88"
"Species 395","Species 88"
"Species 396","Species 88"
"Species 397","Species 88"
"Species 398","Species 88"
"Species 6","Species 92"
"Species 12","Species 92"
"Species 353","Species 92"
"Species 354","Species 92"
"Species 355","Species 92"
"Species 356","Species 92"
"Species 357","Species 92"
"Species 358","Species 92"
"Species 359","Species 92"
"Species 361","Species 92"
"Species 362","Species 92"
"Species 363","Species 92"
"Species 364","Species 92"
"Species 365","Species 92"
"Species 366","Species 92"
"Species 367","Species 92"
"Species 368","Species 92"
"Species 369","Species 92"
"Species 371","Species 92"
"Species 372","Species 92"
"Species 377","Species 92"
"Species 378","Species 92"
"Species 379","Species 92"
"Species 380","Species 92"
"Species 383","Species 92"
"Species 384","Species 92"
"Species 385","Species 92"
"Species 386","Species 92"
"Species 387","Species 92"
"Species 388","Species 92"
"Species 389","Species 92"
"Species 390","Species 92"
"Species 391","Species 92"
"Species 392","Species 92"
"Species 393","Species 92"
"Species 394","Species 92"
"Species 395","Species 92"
"Species 396","Species 92"
"Species 397","Species 92"
"Species 398","Species 92"
"Species 6","Species 93"
"Species 12","Species 93"
"Species 47","Species 93"
"Species 48","Species 93"
"Species 51","Species 93"
"Species 52","Species 93"
"Species 53","Species 93"
"Species 54","Species 93"
"Species 55","Species 93"
"Species 56","Species 93"
"Species 57","Species 93"
"Species 58","Species 93"
"Species 69","Species 93"
"Species 70","Species 93"
"Species 99","Species 93"
"Species 100","Species 93"
"Species 101","Species 93"
"Species 102","Species 93"
"Species 103","Species 93"
"Species 104","Species 93"
"Species 108","Species 93"
"Species 109","Species 93"
"Species 111","Species 93"
"Species 113","Species 93"
"Species 114","Species 93"
"Species 353","Species 93"
"Species 354","Species 93"
"Species 355","Species 93"
"Species 356","Species 93"
"Species 357","Species 93"
"Species 358","Species 93"
"Species 359","Species 93"
"Species 361","Species 93"
"Species 362","Species 93"
"Species 363","Species 93"
"Species 364","Species 93"
"Species 365","Species 93"
"Species 366","Species 93"
"Species 367","Species 93"
"Species 368","Species 93"
"Species 369","Species 93"
"Species 371","Species 93"
"Species 372","Species 93"
"Species 377","Species 93"
"Species 378","Species 93"
"Species 379","Species 93"
"Species 380","Species 93"
"Species 383","Species 93"
"Species 384","Species 93"
"Species 385","Species 93"
"Species 386","Species 93"
"Species 387","Species 93"
"Species 388","Species 93"
"Species 389","Species 93"
"Species 390","Species 93"
"Species 391","Species 93"
"Species 392","Species 93"
"Species 393","Species 93"
"Species 394","Species 93"
"Species 395","Species 93"
"Species 396","Species 93"
"Species 397","Species 93"
"Species 398","Species 93"
"Species 12","Species 95"
"Species 47","Species 95"
"Species 48","Species 95"
"Species 51","Species 95"
"Species 52","Species 95"
"Species 53","Species 95"
"Species 54","Species 95"
"Species 55","Species 95"
"Species 56","Species 95"
"Species 57","Species 95"
"Species 58","Species 95"
"Species 69","Species 95"
"Species 70","Species 95"
"Species 99","Species 95"
"Species 100","Species 95"
"Species 101","Species 95"
"Species 102","Species 95"
"Species 103","Species 95"
"Species 104","Species 95"
"Species 108","Species 95"
"Species 109","Species 95"
"Species 111","Species 95"
"Species 113","Species 95"
"Species 114","Species 95"
"Species 353","Species 95"
"Species 354","Species 95"
"Species 355","Species 95"
"Species 356","Species 95"
"Species 357","Species 95"
"Species 358","Species 95"
"Species 359","Species 95"
"Species 361","Species 95"
"Species 362","Species 95"
"Species 363","Species 95"
"Species 364","Species 95"
"Species 365","Species 95"
"Species 366","Species 95"
"Species 367","Species 95"
"Species 368","Species 95"
"Species 369","Species 95"
"Species 371","Species 95"
"Species 372","Species 95"
